iter	RMSE
0	2.673361049
1	2.664094603
2	2.654458111
3	2.644696048
4	2.635741775
5	2.626333511
6	2.616879062
7	2.607793368
8	2.59991379
9	2.591706907
10	2.582885161
11	2.574313351
12	2.566818771
13	2.558184189
14	2.551015716
15	2.542775969
16	2.535386403
17	2.529099444
18	2.522200377
19	2.514267115
20	2.507624707
21	2.500157615
22	2.492658321
23	2.486288126
24	2.479568797
25	2.472341338
26	2.465406932
27	2.45963602
28	2.453554905
29	2.44656249
30	2.440255467
31	2.433750932
32	2.427781531
33	2.422406047
34	2.416751929
35	2.410622421
36	2.405822288
37	2.39945935
38	2.394630407
39	2.39016272
40	2.385071834
41	2.380300904
42	2.37572421
43	2.37004451
44	2.364409684
45	2.359951901
46	2.355372937
47	2.350015504
48	2.344765581
49	2.339508123
50	2.335082637
51	2.33003076
52	2.324987688
53	2.320066121
54	2.315343866
55	2.310463098
56	2.306737965
57	2.302423954
58	2.298757905
59	2.295146649
60	2.291418983
61	2.286554295
62	2.282354023
63	2.278816288
64	2.274447414
65	2.270320295
66	2.266919978
67	2.262705392
68	2.259228266
69	2.255924305
70	2.251904623
71	2.248813784
72	2.244954773
73	2.241210835
74	2.238267784
75	2.235184485
76	2.232244668
77	2.229369201
78	2.225662617
79	2.222051748
80	2.219383631
81	2.216927122
82	2.213540604
83	2.210035224
84	2.20651446
85	2.203017675
86	2.199825178
87	2.197457766
88	2.19440927
89	2.191240413
90	2.188895897
91	2.185995088
92	2.182868343
93	2.1799631
94	2.17765829
95	2.175240502
96	2.172948981
97	2.170980652
98	2.168417125
99	2.165464271
100	2.162675536
101	2.160745527
102	2.157805406
103	2.155053693
104	2.152814624
105	2.15023809
106	2.147771801
107	2.14535544
108	2.143554082
109	2.141211901
110	2.139374249
111	2.136946965
112	2.135242054
113	2.132784025
114	2.13086358
115	2.12913034
116	2.127408144
117	2.125792439
118	2.12372667
119	2.122169068
120	2.120152452
121	2.118630069
122	2.116892518
123	2.1154197
124	2.113727502
125	2.111700907
126	2.110095103
127	2.107934225
128	2.10581411
129	2.103843998
130	2.102416586
131	2.100546307
132	2.099095727
133	2.09787738
134	2.096387133
135	2.095038211
136	2.093336691
137	2.09180575
138	2.089763429
139	2.088354249
140	2.086989317
141	2.085482856
142	2.083750933
143	2.082187599
144	2.080502222
145	2.078996796
146	2.077727326
147	2.076075643
148	2.074751598
149	2.073079673
150	2.071476827
151	2.0703333
152	2.068829934
153	2.067750148
154	2.066184428
155	2.065275857
156	2.06430285
157	2.062900978
158	2.061924218
159	2.060592427
160	2.059576718
161	2.05850438
162	2.057065617
163	2.056189513
164	2.054835058
165	2.053937186
166	2.052875737
167	2.051697628
168	2.050359097
169	2.049017494
170	2.047792507
171	2.046578344
172	2.045565575
