iter	Passed	Remaining
0	79	71411
1	103	46494
2	127	38115
3	149	33588
4	171	30612
5	191	28560
6	213	27188
7	237	26436
8	258	25593
9	280	24935
10	300	24300
11	321	23822
12	343	23466
13	364	23056
14	386	22786
15	407	22504
16	427	22198
17	447	21944
18	469	21751
19	490	21583
20	511	21416
21	534	21322
22	565	21548
23	597	21825
24	630	22073
25	658	22144
26	688	22271
27	709	22104
28	731	21959
29	752	21834
30	776	21769
31	798	21649
32	819	21525
33	840	21402
34	860	21273
35	881	21166
36	903	21082
37	925	20997
38	947	20908
39	968	20813
40	992	20789
41	1013	20702
42	1034	20611
43	1054	20518
44	1075	20429
45	1095	20345
46	1117	20273
47	1138	20214
48	1160	20149
49	1181	20082
50	1204	20054
51	1226	19997
52	1248	19944
53	1269	19891
54	1290	19828
55	1311	19772
56	1333	19714
57	1355	19677
58	1376	19622
59	1398	19577
60	1422	19568
61	1444	19518
62	1465	19472
63	1486	19416
64	1507	19369
65	1528	19317
66	1549	19269
67	1570	19214
68	1592	19174
69	1613	19131
70	1636	19108
71	1658	19067
72	1683	19066
73	1703	19019
74	1725	18979
75	1746	18933
76	1767	18891
77	1788	18849
78	1809	18802
79	1829	18750
80	1853	18743
81	1874	18700
82	1895	18657
83	1915	18611
84	1936	18571
85	1958	18536
86	1979	18495
87	2000	18454
88	2021	18419
89	2042	18381
90	2065	18366
91	2087	18335
92	2108	18293
93	2128	18253
94	2148	18208
95	2169	18172
96	2190	18129
97	2210	18090
98	2231	18054
99	2253	18024
100	2274	17994
101	2295	17956
102	2315	17916
103	2335	17879
104	2357	17846
105	2380	17831
106	2401	17801
107	2422	17764
108	2443	17733
109	2464	17697
110	2488	17687
111	2509	17653
112	2529	17616
113	2550	17582
114	2571	17554
115	2593	17525
116	2613	17493
117	2635	17464
118	2655	17429
119	2675	17393
120	2699	17377
121	2720	17350
122	2741	17321
123	2762	17289
124	2783	17256
125	2804	17225
126	2825	17196
127	2845	17161
128	2867	17138
129	2888	17109
130	2911	17091
131	2932	17059
132	2952	17029
133	2973	16998
134	2994	16971
135	3016	16943
136	3037	16915
137	3058	16888
138	3079	16862
139	3100	16832
140	3123	16813
141	3144	16786
142	3164	16753
143	3185	16722
144	3206	16695
145	3227	16668
146	3248	16637
147	3268	16608
148	3289	16578
149	3310	16551
150	3332	16532
151	3353	16504
152	3375	16480
153	3396	16451
154	3417	16425
155	3438	16400
156	3459	16374
157	3480	16345
158	3501	16319
159	3522	16289
160	3545	16275
161	3566	16248
162	3587	16222
163	3608	16193
164	3629	16167
165	3651	16144
166	3672	16118
167	3693	16091
168	3713	16061
169	3733	16033
170	3757	16017
171	3777	15988
172	3798	15962
173	3819	15934
174	3839	15907
175	3860	15881
176	3881	15856
177	3902	15829
178	3923	15803
179	3943	15774
180	3966	15755
181	3986	15728
182	4007	15702
183	4029	15679
184	4049	15652
185	4071	15628
186	4092	15602
187	4112	15575
188	4133	15548
189	4153	15521
190	4175	15499
191	4196	15474
192	4217	15448
193	4238	15424
194	4258	15397
195	4279	15371
196	4300	15346
197	4320	15318
198	4341	15292
199	4361	15265
200	4386	15255
201	4407	15229
202	4428	15204
203	4448	15178
204	4469	15153
205	4491	15130
206	4512	15107
207	4534	15085
208	4554	15059
209	4576	15035
210	4599	15020
211	4621	14999
212	4642	14973
213	4662	14947
214	4683	14923
215	4704	14897
216	4725	14872
217	4746	14850
218	4766	14822
219	4791	14810
220	4814	14792
221	4835	14769
222	4857	14747
223	4878	14722
224	4906	14719
225	4932	14711
226	4963	14714
227	4989	14704
228	5015	14695
229	5043	14690
230	5070	14686
231	5107	14707
232	5135	14700
233	5164	14699
234	5194	14700
235	5224	14700
236	5258	14711
237	5297	14733
238	5323	14722
239	5352	14719
240	5378	14707
241	5407	14702
242	5434	14694
243	5460	14681
244	5486	14668
245	5512	14654
246	5538	14642
247	5565	14631
248	5591	14618
249	5617	14605
250	5646	14599
251	5672	14586
252	5698	14573
253	5725	14561
254	5751	14548
255	5778	14535
256	5806	14526
257	5831	14511
258	5860	14503
259	5886	14489
260	5913	14477
261	5938	14462
262	5965	14448
263	5991	14434
264	6018	14422
265	6041	14398
266	6063	14374
267	6084	14348
268	6105	14321
269	6126	14294
270	6147	14267
271	6168	14242
272	6189	14215
273	6210	14187
274	6231	14162
275	6251	14134
276	6275	14114
277	6297	14089
278	6317	14062
279	6338	14035
280	6359	14009
281	6380	13983
282	6401	13957
283	6422	13930
284	6442	13902
285	6462	13874
286	6485	13851
287	6506	13826
288	6528	13802
289	6549	13775
290	6569	13749
291	6590	13723
292	6611	13697
293	6632	13670
294	6653	13645
295	6674	13619
296	6696	13595
297	6717	13569
298	6737	13543
299	6758	13517
300	6778	13489
301	6799	13464
302	6820	13438
303	6840	13411
304	6862	13387
305	6884	13363
306	6906	13341
307	6928	13318
308	6949	13291
309	6969	13264
310	6990	13239
311	7011	13214
312	7032	13189
313	7053	13164
314	7074	13138
315	7095	13112
316	7119	13093
317	7139	13067
318	7160	13041
319	7181	13015
320	7201	12989
321	7222	12964
322	7243	12938
323	7264	12914
324	7284	12888
325	7305	12862
326	7327	12839
327	7348	12815
328	7369	12790
329	7390	12766
330	7411	12740
331	7432	12715
332	7455	12694
333	7479	12674
334	7500	12649
335	7520	12624
336	7544	12604
337	7566	12580
338	7587	12556
339	7609	12533
340	7630	12508
341	7652	12485
342	7673	12460
343	7693	12435
344	7714	12410
345	7734	12384
346	7757	12363
347	7779	12339
348	7799	12314
349	7820	12289
350	7841	12264
351	7862	12241
352	7885	12218
353	7905	12193
354	7926	12168
355	7946	12143
356	7968	12120
357	7989	12095
358	8009	12070
359	8031	12046
360	8052	12022
361	8073	11999
362	8094	11975
363	8115	11950
364	8136	11926
365	8158	11903
366	8184	11886
367	8205	11862
368	8227	11839
369	8247	11814
370	8268	11789
371	8290	11766
372	8310	11741
373	8331	11717
374	8352	11694
375	8374	11670
376	8396	11648
377	8417	11624
378	8438	11599
379	8459	11576
380	8481	11553
381	8503	11531
382	8524	11507
383	8545	11482
384	8566	11458
385	8586	11434
386	8610	11413
387	8630	11388
388	8651	11364
389	8671	11339
390	8692	11315
391	8713	11292
392	8733	11267
393	8754	11242
394	8775	11219
395	8796	11195
396	8818	11172
397	8839	11149
398	8860	11125
399	8881	11101
400	8904	11080
401	8925	11057
402	8945	11032
403	8967	11009
404	8988	10985
405	9008	10961
406	9032	10941
407	9053	10917
408	9074	10893
409	9095	10870
410	9116	10846
411	9137	10823
412	9159	10801
413	9181	10777
414	9201	10753
415	9222	10730
416	9245	10708
417	9267	10685
418	9288	10662
419	9309	10639
420	9330	10615
421	9351	10592
422	9370	10567
423	9391	10542
424	9412	10519
425	9433	10496
426	9456	10474
427	9477	10451
428	9497	10427
429	9519	10404
430	9540	10381
431	9561	10358
432	9581	10333
433	9602	10310
434	9624	10287
435	9646	10265
436	9669	10244
437	9690	10221
438	9711	10197
439	9731	10173
440	9752	10150
441	9772	10126
442	9793	10103
443	9814	10079
444	9835	10056
445	9856	10033
446	9879	10011
447	9901	9990
448	9922	9966
449	9944	9944
450	9965	9921
451	9987	9898
452	10008	9875
453	10029	9852
454	10051	9830
455	10070	9805
456	10094	9785
457	10116	9762
458	10136	9738
459	10157	9716
460	10179	9693
461	10200	9670
462	10221	9647
463	10242	9624
464	10263	9601
465	10285	9579
466	10308	9557
467	10328	9534
468	10350	9511
469	10371	9489
470	10392	9466
471	10416	9445
472	10436	9421
473	10457	9398
474	10478	9375
475	10499	9352
476	10522	9331
477	10544	9308
478	10566	9286
479	10586	9263
480	10607	9239
481	10628	9217
482	10649	9194
483	10670	9171
484	10692	9148
485	10712	9125
486	10736	9104
487	10757	9082
488	10777	9058
489	10798	9035
490	10820	9013
491	10841	8990
492	10862	8967
493	10883	8944
494	10903	8921
495	10924	8898
496	10948	8877
497	10968	8853
498	10989	8830
499	11009	8807
500	11030	8784
501	11050	8761
502	11071	8738
503	11091	8714
504	11112	8691
505	11134	8669
506	11156	8647
507	11177	8624
508	11198	8602
509	11220	8580
510	11241	8557
511	11262	8534
512	11284	8512
513	11305	8490
514	11327	8467
515	11348	8445
516	11371	8424
517	11393	8402
518	11425	8387
519	11453	8369
520	11483	8353
521	11509	8334
522	11538	8317
523	11559	8294
524	11582	8273
525	11604	8250
526	11625	8228
527	11647	8206
528	11668	8183
529	11689	8160
530	11710	8137
531	11731	8114
532	11752	8092
533	11774	8070
534	11799	8050
535	11819	8026
536	11840	8004
537	11861	7981
538	11882	7958
539	11903	7935
540	11923	7912
541	11945	7890
542	11966	7867
543	11987	7844
544	12009	7822
545	12030	7799
546	12050	7776
547	12071	7754
548	12092	7731
549	12112	7708
550	12134	7685
551	12155	7663
552	12176	7640
553	12196	7617
554	12219	7595
555	12239	7572
556	12260	7550
557	12281	7527
558	12301	7504
559	12322	7481
560	12342	7458
561	12364	7436
562	12384	7412
563	12405	7390
564	12428	7368
565	12448	7346
566	12468	7322
567	12491	7301
568	12512	7278
569	12533	7256
570	12554	7233
571	12575	7210
572	12595	7188
573	12615	7164
574	12638	7143
575	12659	7121
576	12680	7098
577	12701	7075
578	12721	7053
579	12742	7030
580	12763	7008
581	12784	6985
582	12804	6962
583	12825	6939
584	12847	6917
585	12868	6895
586	12889	6873
587	12910	6850
588	12931	6827
589	12951	6805
590	12972	6782
591	12992	6759
592	13014	6737
593	13035	6715
594	13057	6693
595	13078	6670
596	13098	6648
597	13119	6625
598	13139	6602
599	13160	6580
600	13181	6557
601	13203	6535
602	13225	6513
603	13245	6491
604	13268	6469
605	13289	6447
606	13296	6418
607	13317	6396
608	13338	6373
609	13360	6351
610	13382	6329
611	13403	6307
612	13424	6285
613	13445	6263
614	13467	6241
615	13491	6220
616	13512	6197
617	13533	6175
618	13554	6153
619	13574	6130
620	13595	6108
621	13616	6085
622	13636	6063
623	13658	6041
624	13682	6020
625	13703	5997
626	13724	5975
627	13745	5953
628	13768	5932
629	13789	5909
630	13810	5887
631	13831	5865
632	13852	5842
633	13873	5820
634	13895	5799
635	13916	5776
636	13936	5754
637	13958	5732
638	13979	5709
639	13999	5687
640	14021	5665
641	14042	5643
642	14063	5621
643	14085	5599
644	14107	5577
645	14127	5554
646	14141	5529
647	14162	5507
648	14184	5485
649	14205	5463
650	14226	5441
651	14241	5416
652	14263	5395
653	14284	5373
654	14306	5351
655	14327	5329
656	14348	5306
657	14368	5284
658	14389	5262
659	14410	5240
660	14431	5217
661	14451	5195
662	14472	5173
663	14493	5151
664	14516	5129
665	14537	5107
666	14558	5085
667	14579	5063
668	14600	5041
669	14622	5019
670	14642	4997
671	14662	4974
672	14683	4952
673	14704	4930
674	14727	4909
675	14748	4887
676	14769	4864
677	14789	4842
678	14810	4820
679	14831	4798
680	14846	4774
681	14868	4752
682	14888	4730
683	14909	4708
684	14932	4686
685	14953	4664
686	14974	4642
687	14995	4620
688	15016	4598
689	15037	4576
690	15058	4554
691	15078	4532
692	15099	4510
693	15120	4488
694	15143	4466
695	15163	4444
696	15185	4422
697	15206	4400
698	15227	4378
699	15248	4356
700	15269	4334
701	15290	4312
702	15311	4290
703	15332	4268
704	15358	4248
705	15378	4225
706	15399	4203
707	15420	4181
708	15441	4159
709	15462	4137
710	15483	4115
711	15504	4093
712	15525	4071
713	15546	4050
714	15571	4028
715	15592	4006
716	15612	3984
717	15634	3962
718	15654	3940
719	15676	3919
720	15698	3897
721	15719	3875
722	15739	3853
723	15761	3831
724	15784	3810
725	15804	3787
726	15825	3765
727	15846	3743
728	15867	3722
729	15888	3700
730	15909	3678
731	15931	3656
732	15952	3634
733	15973	3612
734	15995	3590
735	16017	3569
736	16038	3547
737	16059	3525
738	16080	3503
739	16101	3481
740	16123	3459
741	16144	3437
742	16166	3416
743	16188	3394
744	16210	3372
745	16232	3350
746	16253	3328
747	16273	3306
748	16295	3285
749	16316	3263
750	16336	3241
751	16358	3219
752	16378	3197
753	16399	3175
754	16414	3152
755	16435	3130
756	16455	3108
757	16476	3086
758	16497	3064
759	16518	3042
760	16529	3019
761	16551	2997
762	16573	2975
763	16594	2953
764	16615	2932
765	16638	2910
766	16659	2888
767	16680	2866
768	16700	2845
769	16721	2823
770	16741	2801
771	16762	2779
772	16783	2757
773	16804	2735
774	16827	2714
775	16848	2692
776	16869	2670
777	16889	2648
778	16910	2626
779	16931	2604
780	16952	2582
781	16973	2561
782	16995	2539
783	17016	2517
784	17039	2496
785	17060	2474
786	17081	2452
787	17101	2430
788	17122	2408
789	17144	2387
790	17166	2365
791	17186	2343
792	17207	2321
793	17228	2300
794	17252	2278
795	17273	2256
796	17294	2235
797	17314	2213
798	17339	2191
799	17362	2170
800	17384	2148
801	17405	2126
802	17426	2105
803	17446	2083
804	17469	2061
805	17490	2039
806	17511	2018
807	17532	1996
808	17553	1974
809	17572	1952
810	17593	1930
811	17614	1908
812	17634	1887
813	17655	1865
814	17677	1843
815	17698	1821
816	17719	1800
817	17739	1778
818	17760	1756
819	17782	1734
820	17803	1713
821	17825	1691
822	17845	1669
823	17866	1647
824	17889	1626
825	17910	1604
826	17931	1582
827	17952	1561
828	17973	1539
829	17997	1517
830	18018	1496
831	18039	1474
832	18060	1452
833	18081	1430
834	18106	1409
835	18127	1387
836	18148	1366
837	18169	1344
838	18190	1322
839	18212	1300
840	18234	1279
841	18255	1257
842	18277	1235
843	18298	1214
844	18320	1192
845	18342	1170
846	18363	1149
847	18383	1127
848	18405	1105
849	18425	1083
850	18446	1062
851	18466	1040
852	18486	1018
853	18507	996
854	18530	975
855	18550	953
856	18571	931
857	18592	910
858	18613	888
859	18636	866
860	18657	845
861	18679	823
862	18700	801
863	18721	780
864	18746	758
865	18772	737
866	18799	715
867	18820	693
868	18842	672
869	18863	650
870	18883	628
871	18904	607
872	18925	585
873	18947	563
874	18969	541
875	18990	520
876	19010	498
877	19032	476
878	19053	455
879	19073	433
880	19094	411
881	19115	390
882	19135	368
883	19159	346
884	19181	325
885	19202	303
886	19223	281
887	19244	260
888	19264	238
889	19285	216
890	19305	195
891	19325	173
892	19346	151
893	19370	130
894	19391	108
895	19412	86
896	19433	64
897	19454	43
898	19476	21
899	19496	0
